Jogador;Time;Idade;Gols;Assist;xG;xA;PrgC;PrgP;PrgR;TklDef;TklMc;TklAta;Cortes;PassCmp;PassAtt;DistTot;DistPrg;Pos
Tosin Adarabioyo;Fullham;24;0.04;0.00;0.03;0.02;0.69;4.09;0.13;0.95;0.26;0.09;1.12;45.9;56.0;975.1;365.4;Zag
Said Benrahma;WestHam;26;0.26;0.13;0.30;0.20;4.74;3.57;10.3;0.48;0.30;0.30;0.39;26.0;34.6;354.5;90.8;Ata
Jordan Henderson;Liverpool;32;0.00;0.09;0.06;0.14;1.61;8.22;3.91;0.43;0.78;0.17;0.91;58.3;70.2;975.3;258.9;Mei
Dejan Kulusevski;Tottenham;22;0.09;0.30;0.11;0.20;3.78;2.91;8.84;1.00;0.30;0.35;0.57;25.3;32.4;353.0;87.2;Ata
Gabriel Jesus;Arsenal;25;0.48;0.26;0.61;0.17;1.92;2.79;8.47;0.70;0.35;0.39;0.48;24.5;30.5;372.3;71.8;Ata
Luke Ayling;Leeds United;30;0.09;0.04;0.14;0.09;1.23;3.38;4.39;1.84;0.66;0.39;1.14;34.5;49.6;549.3;273.5;Lat
Christian Eriksen;Man United;30;0.04;0.35;0.22;0.18;1.01;7.19;2.89;0.44;0.31;0.22;0.48;52.8;65.1;863.2;271.6;Mei
Jack Grealish;Man City;26;0.22;0.31;0.20;0.31;6.27;4.39;13.6;0.44;0.53;0.13;0.31;39.6;47.0;582.0;113.3;Ata
Lloyd Kelly;Bournemouth;23;0.00;0.09;0.01;0.02;0.62;2.07;0.44;1.01;0.40;0.04;1.15;41.1;51.3;774.7;316.0;Zag
Ashley Young;Aston Villa;37;0.04;0.00;0.02;0.04;1.28;4.73;1.46;1.50;0.66;0.04;0.93;39.7;52.6;708.2;272.8;Lat
Issa Diop;Fullham;25;0.04;0.00;0.01;0.02;0.58;3.13;0.18;0.80;0.40;0.04;1.56;54.3;62.5;1061.8;349.4;Zag
Clement Lenglet;Tottenham;27;0.00;0.09;0.04;0.03;1.47;3.79;0.31;0.80;0.67;0.22;0.80;56.7;65.4;1056.6;383.4;Zag
Aleksandar Mitrovic;Fullham;27;0.63;0.04;0.67;0.10;1.08;1.97;4.35;0.36;0.18;0.09;0.13;13.4;22.2;209.5;43.5;Ata
Ruben Dias;Man City;25;0.00;0.00;0.06;0.03;0.63;4.41;0.09;0.45;0.45;0.05;0.81;86.8;93.7;1601.5;566.3;Zag
Che Adams;Southampton;26;0.23;0.14;0.30;0.13;0.77;1.54;5.20;0.32;0.36;0.09;0.18;14.9;22.5;210.5;47.1;Ata
Adam Webster;Brighton;27;0.00;0.00;0.08;0.01;0.86;5.38;0.41;0.45;0.41;0.14;0.86;68.5;77.6;1262.0;464.3;Zag
Kurt Zouma;WestHam;27;0.09;0.00;0.10;0.00;0.14;1.40;0.05;0.18;0.23;0.00;1.36;31.7;37.6;610.0;200.8;Zag
Leon Bailey;Aston Villa;24;0.18;0.18;0.24;0.22;3.88;1.28;8.31;0.27;0.32;0.05;0.27;15.4;25.0;245.6;58.7;Ata
Salisu;Southampton;23;0.00;0.05;0.07;0.03;0.23;3.74;0.18;1.51;0.73;0.09;1.42;40.1;54.6;736.0;336.5;Zag
Rasmus Nissen;Leeds United;25;0.14;0.05;0.04;0.05;0.69;4.08;3.21;1.61;0.96;0.28;1.61;33.9;47.9;565.4;245.6;Lat
Kyle Walker;Man City;32;0.00;0.00;0.02;0.01;2.29;7.43;3.44;0.37;0.23;0.00;0.83;76.2;86.8;1338.4;380.0;Lat
Serge Aurier;Nott Forest;29;0.05;0.00;0.04;0.05;1.71;3.29;2.31;1.90;0.83;0.23;1.34;30.9;43.7;471.4;203.4;Lat
Rodrigo;Leeds United;31;0.60;0.05;0.38;0.08;1.86;2.05;6.65;0.09;0.70;0.33;0.28;18.1;25.6;262.8;52.0;Ata
Aaron Hickey;Brentford;20;0.00;0.05;0.02;0.02;1.92;3.80;2.21;1.27;0.52;0.00;0.80;32.6;39.3;516.2;154.1;Lat
Riyad Mahrez;Man City;31;0.23;0.47;0.26;0.33;3.66;3.57;11.4;0.38;0.61;0.42;0.42;45.0;54.7;739.2;129.2;Ata
Raphael Varane;Man United;29;0.00;0.00;0.03;0.01;0.80;2.97;0.19;0.85;0.28;0.00;0.52;45.0;52.2;848.5;269.4;Zag
Raheem Sterling;Chelsea;27;0.29;0.14;0.30;0.22;3.86;2.81;8.86;0.24;0.19;0.43;0.10;24.5;32.6;310.6;64.6;Ata
Bella Kotchap;Southampton;20;0.00;0.10;0.05;0.05;0.43;1.87;0.10;1.34;0.43;0.00;2.11;35.8;44.8;668.9;216.3;Zag
Neco Williams;Nott Forest;21;0.05;0.00;0.06;0.07;2.44;1.58;3.21;2.34;0.81;0.29;1.58;25.5;40.2;457.7;165.6;Lat
Callum Wilson;Newcastle;30;0.86;0.24;0.84;0.13;1.29;0.91;5.65;0.00;0.38;0.05;0.05;7.66;11.6;95.5;16.2;Ata
Nathan Ake;Man City;27;0.05;0.00;0.08;0.03;1.20;6.73;1.44;0.72;0.43;0.10;0.96;78.8;87.2;1259.6;430.4;Zag
Jamie Vardy;Leicester;35;0.15;0.19;0.33;0.07;0.78;0.68;4.90;0.19;0.15;0.15;0.10;6.65;12.8;93.7;17.7;Ata
Danny Welbeck;Brighton;31;0.29;0.15;0.46;0.21;1.50;2.38;6.50;0.00;0.34;0.39;0.24;18.1;21.5;216.3;42.3;Ata
Phil Foden;Man City;22;0.54;0.29;0.29;0.23;3.32;4.29;13.4;0.44;0.24;0.10;0.24;44.1;54.2;666.8;117.2;Ata
John Stones;Man City;28;0.10;0.10;0.05;0.07;1.37;4.93;1.66;0.54;0.39;0.20;0.44;70.9;76.2;1187.9;331.2;Zag
Ryan Christie;Bournemouth;27;0.05;0.05;0.14;0.12;1.91;3.48;3.48;0.49;1.13;0.05;1.27;25.5;31.9;409.6;99.4;Mei
Romain Perraud;Southampton;24;0.10;0.10;0.06;0.09;1.62;3.04;5.98;1.13;1.13;0.39;0.98;30.5;43.4;430.2;167.6;Lat
Ryan Yates;Nott Forest;24;0.00;0.10;0.11;0.06;0.54;2.11;1.32;0.93;0.78;0.15;0.49;22.3;29.0;371.9;88.8;Mei
Michail Antonio;WestHam;32;0.25;0.15;0.33;0.06;2.41;1.33;5.91;0.05;0.39;0.25;0.25;9.16;17.1;131.2;24.7;Ata
Matty Cash;Aston Villa;24;0.00;0.05;0.01;0.03;2.08;3.71;2.82;1.78;0.74;0.20;1.29;38.5;49.8;676.8;227.5;Lat
Nathan Collins;Wolves;21;0.00;0.00;0.01;0.00;0.54;3.17;0.25;0.94;0.40;0.00;1.04;49.6;56.3;992.3;342.5;Zag
Antony;Man United;22;0.20;0.10;0.33;0.14;4.75;3.70;8.40;0.45;0.45;0.20;0.55;32.5;41.0;424.9;95.8;Ata
