Jogador;Time;Idade;Gols;Assist;xG;xA;PrgC;PrgP;PrgR;TklDef;TklMc;TklAta;Cortes;PassCmp;PassAtt;DistTot;DistPrg;Pos
Eberechi Eze;Crystal Palace;24;0.34;0.14;0.25;0.15;2.35;4.47;4.40;0.58;0.61;0.24;0.44;31.5;40.2;481.4;133.2;Mei
Jacob Ramsey;Aston Villa;21;0.20;0.24;0.17;0.17;3.21;3.34;4.06;0.78;1.19;0.38;0.78;24.8;30.3;349.5;91.0;Mei
Nelson Semedo;Wolves;28;0.00;0.03;0.01;0.02;1.71;3.77;5.03;1.64;0.65;0.14;0.99;41.5;51.3;621.5;209.7;Lat
Andrew Robertson;Liverpool;28;0.00;0.28;0.05;0.21;2.79;5.78;6.76;0.42;0.56;0.35;0.63;62.8;78.9;1064.6;332.0;Lat
Gana Gueye;Everton;32;0.00;0.03;0.02;0.03;0.94;3.43;0.66;1.71;1.22;0.45;1.96;35.8;42.9;567.8;149.6;Vol
Kai Havertz;Chelsea;23;0.25;0.04;0.41;0.13;2.07;3.12;7.65;0.14;0.70;0.35;0.25;25.5;31.4;328.0;66.0;Ata
Kenny Tete;Fullham;26;0.04;0.18;0.02;0.07;2.63;3.61;2.42;1.44;1.02;0.46;1.82;38.9;53.7;615.8;252.5;Lat
Luke Shaw;Man United;27;0.04;0.07;0.04;0.13;1.87;4.93;2.68;1.09;0.77;0.07;1.27;61.9;73.9;973.5;372.1;Lat
Joe Willock;Newcastle;22;0.11;0.21;0.25;0.21;3.42;4.26;5.35;0.46;0.92;0.42;0.88;27.4;33.5;426.9;108.5;Mei
Jeffrey Schlupp;Crystal Palace;29;0.11;0.04;0.11;0.05;1.14;3.49;2.38;1.00;1.03;0.32;0.82;23.7;32.0;375.9;99.6;Mei
Sean Longstaff;Newcastle;24;0.04;0.14;0.13;0.12;0.75;4.14;4.11;0.57;0.71;0.21;0.57;33.7;41.5;552.0;153.5;Mei
Demirai Gray;Everton;26;0.14;0.04;0.22;0.14;3.37;1.65;7.13;0.32;0.50;0.36;0.47;20.8;30.0;352.8;79.4;Ata
Dwight McNeil;Everton;22;0.25;0.11;0.13;0.22;2.73;2.48;4.60;1.26;0.50;0.54;1.12;23.6;35.5;406.0;136.6;Ata
Miguel Almiron;Newcastle;28;0.40;0.07;0.29;0.12;2.78;4.48;9.53;0.58;0.69;0.40;0.36;29.3;35.5;388.2;95.9;Ata
Marcos Senesi;Bournemouth;25;0.07;0.00;0.06;0.02;0.32;2.38;0.11;1.01;0.79;0.00;1.55;38.4;47.7;771.8;337.8;Zag
James Maddison;Leicester;25;0.36;0.33;0.32;0.34;2.79;5.47;5.62;0.91;0.69;0.25;0.47;30.6;41.7;516.1;157.8;Mei
Amadou Onana;Everton;20;0.04;0.07;0.11;0.09;0.98;2.86;1.78;0.87;1.52;0.22;1.34;29.6;35.5;476.3;108.9;Mei
Thomas Partey;Arsenal;29;0.11;0.00;0.08;0.05;1.23;8.37;1.27;0.72;1.27;0.54;1.01;62.7;71.9;1091.7;333.6;Vol
Bobby Reid;Fullham;29;0.15;0.04;0.14;0.06;1.67;2.29;6.76;0.51;0.51;0.51;0.73;23.1;33.0;350.0;111.5;Mei
